treat,rep,bact_clone,phage,infect
mix,1,1,14_1,0
mix,1,2,14_1,0
mix,1,3,14_1,0
mix,1,4,14_1,0
mix,1,5,14_1,0
mix,1,6,14_1,0
mix,1,7,14_1,0
mix,1,8,14_1,0
mix,1,9,14_1,0
mix,1,10,14_1,0
mix,1,11,14_1,0
mix,1,12,14_1,0
mix,1,13,14_1,0
mix,1,14,14_1,0
mix,1,15,14_1,0
mix,1,16,14_1,0
mix,1,17,14_1,0
mix,1,18,14_1,0
mix,1,19,14_1,0
mix,1,20,14_1,0
mix,1,21,14_1,0
mix,1,22,14_1,0
mix,1,23,14_1,0
mix,1,24,14_1,0
mix,1,1,PNM,0
mix,1,2,PNM,0
mix,1,3,PNM,0
mix,1,4,PNM,0
mix,1,5,PNM,0
mix,1,6,PNM,0
mix,1,7,PNM,0
mix,1,8,PNM,0
mix,1,9,PNM,0
mix,1,10,PNM,0
mix,1,11,PNM,0
mix,1,12,PNM,0
mix,1,13,PNM,0
mix,1,14,PNM,0
mix,1,15,PNM,0
mix,1,16,PNM,0
mix,1,17,PNM,0
mix,1,18,PNM,0
mix,1,19,PNM,0
mix,1,20,PNM,0
mix,1,21,PNM,0
mix,1,22,PNM,0
mix,1,23,PNM,0
mix,1,24,PNM,0
mix,2,1,14_1,NA
mix,2,2,14_1,NA
mix,2,3,14_1,0
mix,2,4,14_1,0
mix,2,5,14_1,0
mix,2,6,14_1,0
mix,2,7,14_1,0
mix,2,8,14_1,0
mix,2,9,14_1,0
mix,2,10,14_1,0
mix,2,11,14_1,0
mix,2,12,14_1,0
mix,2,13,14_1,NA
mix,2,14,14_1,NA
mix,2,15,14_1,0
mix,2,16,14_1,0
mix,2,17,14_1,0
mix,2,18,14_1,0
mix,2,19,14_1,0
mix,2,20,14_1,0
mix,2,21,14_1,0
mix,2,22,14_1,0
mix,2,23,14_1,0
mix,2,24,14_1,0
mix,2,1,PNM,NA
mix,2,2,PNM,NA
mix,2,3,PNM,0
mix,2,4,PNM,0
mix,2,5,PNM,0
mix,2,6,PNM,0
mix,2,7,PNM,0
mix,2,8,PNM,0
mix,2,9,PNM,0
mix,2,10,PNM,0
mix,2,11,PNM,0
mix,2,12,PNM,0
mix,2,13,PNM,NA
mix,2,14,PNM,NA
mix,2,15,PNM,0
mix,2,16,PNM,0
mix,2,17,PNM,0
mix,2,18,PNM,0
mix,2,19,PNM,0
mix,2,20,PNM,0
mix,2,21,PNM,0
mix,2,22,PNM,0
mix,2,23,PNM,0
mix,2,24,PNM,0
mix,3,1,14_1,0
mix,3,2,14_1,1
mix,3,3,14_1,0
mix,3,4,14_1,0
mix,3,5,14_1,1
mix,3,6,14_1,0
mix,3,7,14_1,0
mix,3,8,14_1,1
mix,3,9,14_1,0
mix,3,10,14_1,0
mix,3,11,14_1,0
mix,3,12,14_1,0
mix,3,13,14_1,0
mix,3,14,14_1,0
mix,3,15,14_1,0
mix,3,16,14_1,1
mix,3,17,14_1,0
mix,3,18,14_1,1
mix,3,19,14_1,0
mix,3,20,14_1,0
mix,3,21,14_1,0
mix,3,22,14_1,0
mix,3,23,14_1,0
mix,3,24,14_1,1
mix,3,1,PNM,0
mix,3,2,PNM,1
mix,3,3,PNM,0
mix,3,4,PNM,0
mix,3,5,PNM,0
mix,3,6,PNM,0
mix,3,7,PNM,0
mix,3,8,PNM,0
mix,3,9,PNM,0
mix,3,10,PNM,0
mix,3,11,PNM,0
mix,3,12,PNM,0
mix,3,13,PNM,0
mix,3,14,PNM,0
mix,3,15,PNM,0
mix,3,16,PNM,1
mix,3,17,PNM,0
mix,3,18,PNM,1
mix,3,19,PNM,0
mix,3,20,PNM,0
mix,3,21,PNM,0
mix,3,22,PNM,0
mix,3,23,PNM,0
mix,3,24,PNM,1
mix,4,1,14_1,NA
mix,4,2,14_1,NA
mix,4,3,14_1,0
mix,4,4,14_1,0
mix,4,5,14_1,0
mix,4,6,14_1,0
mix,4,7,14_1,0
mix,4,8,14_1,0
mix,4,9,14_1,0
mix,4,10,14_1,0
mix,4,11,14_1,0
mix,4,12,14_1,0
mix,4,13,14_1,NA
mix,4,14,14_1,NA
mix,4,15,14_1,0
mix,4,16,14_1,0
mix,4,17,14_1,0
mix,4,18,14_1,0
mix,4,19,14_1,0
mix,4,20,14_1,0
mix,4,21,14_1,0
mix,4,22,14_1,0
mix,4,23,14_1,0
mix,4,24,14_1,0
mix,4,1,PNM,NA
mix,4,2,PNM,NA
mix,4,3,PNM,0
mix,4,4,PNM,0
mix,4,5,PNM,0
mix,4,6,PNM,0
mix,4,7,PNM,0
mix,4,8,PNM,0
mix,4,9,PNM,0
mix,4,10,PNM,0
mix,4,11,PNM,0
mix,4,12,PNM,0
mix,4,13,PNM,NA
mix,4,14,PNM,NA
mix,4,15,PNM,0
mix,4,16,PNM,0
mix,4,17,PNM,0
mix,4,18,PNM,0
mix,4,19,PNM,0
mix,4,20,PNM,0
mix,4,21,PNM,0
mix,4,22,PNM,0
mix,4,23,PNM,0
mix,4,24,PNM,0
mix,5,1,14_1,0
mix,5,2,14_1,0
mix,5,3,14_1,0
mix,5,4,14_1,0
mix,5,5,14_1,1
mix,5,6,14_1,0
mix,5,7,14_1,0
mix,5,8,14_1,0
mix,5,9,14_1,0
mix,5,10,14_1,0
mix,5,11,14_1,0
mix,5,12,14_1,0
mix,5,13,14_1,0
mix,5,14,14_1,0
mix,5,15,14_1,0
mix,5,16,14_1,0
mix,5,17,14_1,0
mix,5,18,14_1,0
mix,5,19,14_1,0
mix,5,20,14_1,0
mix,5,21,14_1,0
mix,5,22,14_1,0
mix,5,23,14_1,0
mix,5,24,14_1,1
mix,5,1,PNM,0
mix,5,2,PNM,0
mix,5,3,PNM,0
mix,5,4,PNM,0
mix,5,5,PNM,1
mix,5,6,PNM,0
mix,5,7,PNM,0
mix,5,8,PNM,0
mix,5,9,PNM,0
mix,5,10,PNM,0
mix,5,11,PNM,0
mix,5,12,PNM,0
mix,5,13,PNM,0
mix,5,14,PNM,0
mix,5,15,PNM,0
mix,5,16,PNM,0
mix,5,17,PNM,0
mix,5,18,PNM,0
mix,5,19,PNM,0
mix,5,20,PNM,0
mix,5,21,PNM,0
mix,5,22,PNM,0
mix,5,23,PNM,1
mix,5,24,PNM,1
mix,6,1,14_1,NA
mix,6,2,14_1,NA
mix,6,3,14_1,0
mix,6,4,14_1,1
mix,6,5,14_1,1
mix,6,6,14_1,0
mix,6,7,14_1,1
mix,6,8,14_1,0
mix,6,9,14_1,0
mix,6,10,14_1,0
mix,6,11,14_1,0
mix,6,12,14_1,0
mix,6,13,14_1,NA
mix,6,14,14_1,NA
mix,6,15,14_1,1
mix,6,16,14_1,0
mix,6,17,14_1,0
mix,6,18,14_1,1
mix,6,19,14_1,0
mix,6,20,14_1,0
mix,6,21,14_1,1
mix,6,22,14_1,0
mix,6,23,14_1,0
mix,6,24,14_1,1
mix,6,1,PNM,NA
mix,6,2,PNM,NA
mix,6,3,PNM,0
mix,6,4,PNM,1
mix,6,5,PNM,1
mix,6,6,PNM,0
mix,6,7,PNM,1
mix,6,8,PNM,0
mix,6,9,PNM,0
mix,6,10,PNM,0
mix,6,11,PNM,0
mix,6,12,PNM,0
mix,6,13,PNM,NA
mix,6,14,PNM,NA
mix,6,15,PNM,1
mix,6,16,PNM,0
mix,6,17,PNM,0
mix,6,18,PNM,1
mix,6,19,PNM,0
mix,6,20,PNM,0
mix,6,21,PNM,1
mix,6,22,PNM,0
mix,6,23,PNM,0
mix,6,24,PNM,0
mix_add,1,1,14_1,0
mix_add,1,2,14_1,0
mix_add,1,3,14_1,0
mix_add,1,4,14_1,0
mix_add,1,5,14_1,0
mix_add,1,6,14_1,0
mix_add,1,7,14_1,0
mix_add,1,8,14_1,0
mix_add,1,9,14_1,0
mix_add,1,10,14_1,0
mix_add,1,11,14_1,0
mix_add,1,12,14_1,0
mix_add,1,13,14_1,0
mix_add,1,14,14_1,0
mix_add,1,15,14_1,0
mix_add,1,16,14_1,0
mix_add,1,17,14_1,0
mix_add,1,18,14_1,0
mix_add,1,19,14_1,0
mix_add,1,20,14_1,0
mix_add,1,21,14_1,0
mix_add,1,22,14_1,1
mix_add,1,23,14_1,0
mix_add,1,24,14_1,0
mix_add,1,1,PNM,0
mix_add,1,2,PNM,0
mix_add,1,3,PNM,0
mix_add,1,4,PNM,0
mix_add,1,5,PNM,0
mix_add,1,6,PNM,0
mix_add,1,7,PNM,0
mix_add,1,8,PNM,0
mix_add,1,9,PNM,0
mix_add,1,10,PNM,0
mix_add,1,11,PNM,0
mix_add,1,12,PNM,0
mix_add,1,13,PNM,0
mix_add,1,14,PNM,0
mix_add,1,15,PNM,0
mix_add,1,16,PNM,0
mix_add,1,17,PNM,0
mix_add,1,18,PNM,0
mix_add,1,19,PNM,0
mix_add,1,20,PNM,0
mix_add,1,21,PNM,0
mix_add,1,22,PNM,1
mix_add,1,23,PNM,0
mix_add,1,24,PNM,0
mix_add,2,1,14_1,0
mix_add,2,2,14_1,0
mix_add,2,3,14_1,0
mix_add,2,4,14_1,0
mix_add,2,5,14_1,0
mix_add,2,6,14_1,0
mix_add,2,7,14_1,0
mix_add,2,8,14_1,0
mix_add,2,9,14_1,0
mix_add,2,10,14_1,0
mix_add,2,11,14_1,0
mix_add,2,12,14_1,0
mix_add,2,13,14_1,0
mix_add,2,14,14_1,0
mix_add,2,15,14_1,0
mix_add,2,16,14_1,0
mix_add,2,17,14_1,0
mix_add,2,18,14_1,0
mix_add,2,19,14_1,0
mix_add,2,20,14_1,0
mix_add,2,21,14_1,0
mix_add,2,22,14_1,0
mix_add,2,23,14_1,0
mix_add,2,24,14_1,0
mix_add,2,1,PNM,0
mix_add,2,2,PNM,0
mix_add,2,3,PNM,0
mix_add,2,4,PNM,0
mix_add,2,5,PNM,0
mix_add,2,6,PNM,0
mix_add,2,7,PNM,0
mix_add,2,8,PNM,0
mix_add,2,9,PNM,0
mix_add,2,10,PNM,0
mix_add,2,11,PNM,0
mix_add,2,12,PNM,0
mix_add,2,13,PNM,0
mix_add,2,14,PNM,0
mix_add,2,15,PNM,0
mix_add,2,16,PNM,0
mix_add,2,17,PNM,0
mix_add,2,18,PNM,0
mix_add,2,19,PNM,0
mix_add,2,20,PNM,0
mix_add,2,21,PNM,0
mix_add,2,22,PNM,0
mix_add,2,23,PNM,0
mix_add,2,24,PNM,0
mix_add,3,1,14_1,0
mix_add,3,2,14_1,0
mix_add,3,3,14_1,0
mix_add,3,4,14_1,0
mix_add,3,5,14_1,0
mix_add,3,6,14_1,0
mix_add,3,7,14_1,0
mix_add,3,8,14_1,0
mix_add,3,9,14_1,0
mix_add,3,10,14_1,0
mix_add,3,11,14_1,0
mix_add,3,12,14_1,0
mix_add,3,13,14_1,0
mix_add,3,14,14_1,0
mix_add,3,15,14_1,0
mix_add,3,16,14_1,0
mix_add,3,17,14_1,0
mix_add,3,18,14_1,0
mix_add,3,19,14_1,0
mix_add,3,20,14_1,0
mix_add,3,21,14_1,0
mix_add,3,22,14_1,0
mix_add,3,23,14_1,0
mix_add,3,24,14_1,0
mix_add,3,1,PNM,0
mix_add,3,2,PNM,0
mix_add,3,3,PNM,0
mix_add,3,4,PNM,0
mix_add,3,5,PNM,0
mix_add,3,6,PNM,0
mix_add,3,7,PNM,0
mix_add,3,8,PNM,0
mix_add,3,9,PNM,0
mix_add,3,10,PNM,0
mix_add,3,11,PNM,0
mix_add,3,12,PNM,0
mix_add,3,13,PNM,0
mix_add,3,14,PNM,0
mix_add,3,15,PNM,0
mix_add,3,16,PNM,0
mix_add,3,17,PNM,0
mix_add,3,18,PNM,0
mix_add,3,19,PNM,0
mix_add,3,20,PNM,0
mix_add,3,21,PNM,0
mix_add,3,22,PNM,0
mix_add,3,23,PNM,0
mix_add,3,24,PNM,0
mix_add,4,1,14_1,0
mix_add,4,2,14_1,0
mix_add,4,3,14_1,0
mix_add,4,4,14_1,0
mix_add,4,5,14_1,0
mix_add,4,6,14_1,0
mix_add,4,7,14_1,0
mix_add,4,8,14_1,0
mix_add,4,9,14_1,0
mix_add,4,10,14_1,0
mix_add,4,11,14_1,0
mix_add,4,12,14_1,0
mix_add,4,13,14_1,1
mix_add,4,14,14_1,0
mix_add,4,15,14_1,0
mix_add,4,16,14_1,0
mix_add,4,17,14_1,0
mix_add,4,18,14_1,0
mix_add,4,19,14_1,0
mix_add,4,20,14_1,0
mix_add,4,21,14_1,0
mix_add,4,22,14_1,0
mix_add,4,23,14_1,0
mix_add,4,24,14_1,NA
mix_add,4,1,PNM,0
mix_add,4,2,PNM,0
mix_add,4,3,PNM,0
mix_add,4,4,PNM,0
mix_add,4,5,PNM,0
mix_add,4,6,PNM,0
mix_add,4,7,PNM,0
mix_add,4,8,PNM,0
mix_add,4,9,PNM,0
mix_add,4,10,PNM,0
mix_add,4,11,PNM,0
mix_add,4,12,PNM,0
mix_add,4,13,PNM,0
mix_add,4,14,PNM,0
mix_add,4,15,PNM,0
mix_add,4,16,PNM,0
mix_add,4,17,PNM,0
mix_add,4,18,PNM,0
mix_add,4,19,PNM,0
mix_add,4,20,PNM,0
mix_add,4,21,PNM,0
mix_add,4,22,PNM,0
mix_add,4,23,PNM,0
mix_add,4,24,PNM,NA
mix_add,5,1,14_1,0
mix_add,5,2,14_1,0
mix_add,5,3,14_1,0
mix_add,5,4,14_1,0
mix_add,5,5,14_1,0
mix_add,5,6,14_1,0
mix_add,5,7,14_1,0
mix_add,5,8,14_1,0
mix_add,5,9,14_1,0
mix_add,5,10,14_1,0
mix_add,5,11,14_1,0
mix_add,5,12,14_1,0
mix_add,5,13,14_1,0
mix_add,5,14,14_1,0
mix_add,5,15,14_1,0
mix_add,5,16,14_1,1
mix_add,5,17,14_1,1
mix_add,5,18,14_1,0
mix_add,5,19,14_1,0
mix_add,5,20,14_1,0
mix_add,5,21,14_1,0
mix_add,5,22,14_1,0
mix_add,5,23,14_1,0
mix_add,5,24,14_1,0
mix_add,5,1,PNM,0
mix_add,5,2,PNM,0
mix_add,5,3,PNM,0
mix_add,5,4,PNM,0
mix_add,5,5,PNM,0
mix_add,5,6,PNM,0
mix_add,5,7,PNM,0
mix_add,5,8,PNM,0
mix_add,5,9,PNM,0
mix_add,5,10,PNM,0
mix_add,5,11,PNM,0
mix_add,5,12,PNM,0
mix_add,5,13,PNM,0
mix_add,5,14,PNM,0
mix_add,5,15,PNM,0
mix_add,5,16,PNM,0
mix_add,5,17,PNM,0
mix_add,5,18,PNM,0
mix_add,5,19,PNM,0
mix_add,5,20,PNM,0
mix_add,5,21,PNM,0
mix_add,5,22,PNM,0
mix_add,5,23,PNM,0
mix_add,5,24,PNM,0
mix_add,6,1,14_1,0
mix_add,6,2,14_1,0
mix_add,6,3,14_1,1
mix_add,6,4,14_1,0
mix_add,6,5,14_1,0
mix_add,6,6,14_1,0
mix_add,6,7,14_1,0
mix_add,6,8,14_1,0
mix_add,6,9,14_1,0
mix_add,6,10,14_1,0
mix_add,6,11,14_1,0
mix_add,6,12,14_1,0
mix_add,6,13,14_1,0
mix_add,6,14,14_1,1
mix_add,6,15,14_1,0
mix_add,6,16,14_1,0
mix_add,6,17,14_1,1
mix_add,6,18,14_1,0
mix_add,6,19,14_1,0
mix_add,6,20,14_1,1
mix_add,6,21,14_1,0
mix_add,6,22,14_1,0
mix_add,6,23,14_1,0
mix_add,6,24,14_1,0
mix_add,6,1,PNM,0
mix_add,6,2,PNM,0
mix_add,6,3,PNM,1
mix_add,6,4,PNM,0
mix_add,6,5,PNM,0
mix_add,6,6,PNM,0
mix_add,6,7,PNM,0
mix_add,6,8,PNM,0
mix_add,6,9,PNM,0
mix_add,6,10,PNM,0
mix_add,6,11,PNM,0
mix_add,6,12,PNM,0
mix_add,6,13,PNM,0
mix_add,6,14,PNM,1
mix_add,6,15,PNM,0
mix_add,6,16,PNM,0
mix_add,6,17,PNM,1
mix_add,6,18,PNM,0
mix_add,6,19,PNM,0
mix_add,6,20,PNM,1
mix_add,6,21,PNM,0
mix_add,6,22,PNM,0
mix_add,6,23,PNM,0
mix_add,6,24,PNM,0